Column1,Column2,Column3,Column4,Column5
Blue Moon Odom,1964-1976,3,3,"OAK,OAK,OAK"
David Ortiz*,1997-2016,3,3,"BOS,BOS,BOS"
Jim Palmer*,1965-1984,3,3,"BAL,BAL,BAL"
Buster Posey,2009-2021,3,3,"SFG,SFG,SFG"
Sergio Romo,2008-2022,3,3,"SFG,SFG,SFG"
John Roseboro,1957-1970,3,3,"LAD,LAD,LAD"
Pete Rose,1963-1986,3,3,"CIN,CIN,PHI"
Joe Rudi,1967-1982,3,3,"OAK,OAK,OAK"
Johnny Sain,1942-1955,3,3,"NYY,NYY,NYY"
Curt Schilling,1988-2007,3,3,"ARI,BOS,BOS"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Earl Smith,1919-1930,3,3,"NYG,NYG,PIT"
Lonnie Smith,1978-1994,3,3,"PHI,STL,KCR"
Tris Speaker*,1907-1928,3,3,"BOS,BOS,CLE"
Dave Stewart,1978-1995,3,3,"LAD,OAK,TOR"
George Sweatt,1922-1927,3,3,"KCM,CAG,CAG"
Dick Tracewski,1962-1969,3,3,"LAD,LAD,DET"
Devon White,1985-2001,3,3,"TOR,TOR,FLA"
Maury Wills,1959-1972,3,3,"LAD,LAD,LAD"
Benny Bengough,1923-1932,3,2,"NYY,NYY,NYY"
Jerry Benjamin,1932-1948,3,2,"HG,HG,CBE"
George Burns,1914-1929,3,2,"CLE,NYY,PHA"
Matt Cain,2005-2017,3,2,"SFG,SFG,SFG"
Steve Carlton*,1965-1988,3,2,"STL,PHI,MIN"
Jim Coates,1956-1967,3,2,"NYY,NYY,NYY"
Jack Coombs,1906-1920,3,2,"PHA,PHA,PHA"
Vic Davalillo,1963-1980,3,2,"PIT,OAK,OAK"
Harry Davis,1895-1917,3,2,"PHA,PHA,PHA"
Murry Dickson,1939-1959,3,2,"STL,STL,NYY"
George Foster,1969-1986,3,2,"CIN,CIN,NYM"
Ken Griffey,1973-1991,3,2,"CIN,CIN,CIN"
Mule Haas,1925-1938,3,2,"PIT,PHA,PHA"
Jesse Haines*,1918-1937,3,2,"STL,STL,STL"
Dick Hoblitzell,1908-1918,3,2,"BOS,BOS,BOS"
Jay Johnstone,1966-1985,3,2,"OAK,NYY,LAD"
Sad Sam Jones,1914-1935,3,2,"BOS,BOS,NYY"
Joe Kelly,2012-2024,3,2,"BOS,LAD,LAD"
Ted Kubiak,1967-1976,3,2,"OAK,OAK,OAK"
Max Lanier,1938-1953,3,2,"STL,STL,STL"
Ricky Ledée,1998-2007,3,2,"NYY,NYY,NYY"
Al Leiter,1987-2005,3,2,"TOR,TOR,FLA"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Dutch Leonard,1913-1925,3,2,"BOS,BOS,BOS"
Jim Leyritz,1990-2000,3,2,"NYY,NYY,NYY"
Paul Lindblad,1965-1978,3,2,"OAK,OAK,NYY"
Mike Lowell,1998-2010,3,2,"NYY,FLA,BOS"
Dolf Luque,1914-1935,3,2,"BSN,CIN,NYG"
Gus Mancuso,1928-1945,3,2,"STL,NYG,STL"
Cliff Mapes,1948-1952,3,2,"NYY,NYY,NYY"
Pepper Martin,1928-1944,3,2,"STL,STL,STL"
Tim McCarver,1959-1980,3,2,"STL,STL,PHI"
Bob Miller,1957-1974,3,2,"LAD,LAD,PIT"
Wally Moon,1954-1965,3,2,"LAD,LAD,LAD"
Wilcy Moore,1927-1933,3,2,"NYY,NYY,NYY"
Tom Morgan,1951-1963,3,2,"NYY,NYY,NYY"
Danny Murphy,1900-1915,3,2,"PHA,PHA,PHA"
Irv Noren,1950-1960,3,2,"NYY,NYY,NYY"
Ken O'Dea,1935-1946,3,2,"STL,STL,STL"
Rube Oldring,1905-1918,3,2,"PHA,PHA,PHA"
Joe Page,1944-1954,3,2,"NYY,NYY,NYY"
Dustin Pedroia,2006-2019,3,2,"BOS,BOS,BOS"
Alejandro Peña,1981-1996,3,2,"LAD,LAD,ATL"
Eddie Plank*,1901-1917,3,2,"PHA,PHA,PHA"
Luis Polonia,1987-2000,3,2,"OAK,ATL,NYY"
Flint Rhem,1924-1936,3,2,"STL,STL,STL"
Marius Russo,1939-1946,3,2,"NYY,NYY,NYY"
Will Smith,2012-2024,3,2,"ATL,HOU,TEX"
Ralph Terry,1956-1967,3,2,"NYY,NYY,NYY"
Ira Thomas,1906-1915,3,2,"PHA,PHA,PHA"
Smoky Joe Wood,1908-1922,3,2,"BOS,BOS,CLE"
Don Zimmer,1954-1965,3,2,"BRO,LAD,LAD"
Nick Altrock,1898-1933,3,1,"BOS,CHW,WSH"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Ivy Andrews,1931-1938,3,1,"NYY,NYY,NYY"
Clay Bellinger,1999-2002,3,1,"NYY,NYY,ANA"
Marv Breuer,1939-1943,3,1,"NYY,NYY,NYY"
Lew Burdette,1950-1967,3,1,"NYY,MLN,STL"
Doc Cramer,1929-1948,3,1,"PHA,PHA,DET"
Babe Dahlgren,1935-1946,3,1,"NYY,NYY,NYY"
Tommy Davis,1959-1976,3,1,"LAD,LAD,LAD"
Rawly Eastwick,1974-1981,3,1,"CIN,CIN,NYY"
Dock Ellis,1968-1979,3,1,"PIT,NYY,PIT"
Billy Gardner,1954-1963,3,1,"NYG,NYY,NYY"
Phil Garner,1973-1988,3,1,"OAK,OAK,PIT"
Robert Gaston,1932-1948,3,1,"HG,HG,HG"
Dwight Gooden,1984-2000,3,1,"NYM,NYY,NYY"
Dave Hamilton,1972-1980,3,1,"OAK,OAK,OAK"
Jackie Jensen,1950-1961,3,1,"NYY,NYY,NYY"
Deron Johnson,1960-1976,3,1,"NYY,OAK,OAK"
Darold Knowles,1965-1980,3,1,"OAK,OAK,OAK"
Sparky Lyle,1967-1982,3,1,"NYY,NYY,PHI"
Mike McNally,1915-1925,3,1,"BOS,BOS,NYY"
Joe Ostrowski,1948-1952,3,1,"NYY,NYY,NYY"
Johnny Rawlings,1914-1926,3,1,"NYG,NYG,PIT"
Rosy Ryan,1919-1933,3,1,"NYG,NYG,NYY"
Art Schallock,1951-1955,3,1,"NYY,NYY,NYY"
Bob Shawkey,1913-1927,3,1,"PHA,NYY,NYY"
Spec Shea,1947-1955,3,1,"NYY,NYY,NYY"
Bill Shores,1928-1936,3,1,"PHA,PHA,NYG"
Shane Spencer,1998-2004,3,1,"NYY,NYY,NYY"
Steve Sundra,1936-1946,3,1,"NYY,NYY,NYY"
Manny Trillo,1973-1989,3,1,"OAK,OAK,PHI"
Charles Wensloff,1943-1948,3,1,"NYY,NYY,CLE"
Player,Years Played,Times on regular-season roster of WS winning team,Times appeared in WS for winning team,Teams Played For
Kemp Wicker,1936-1941,3,1,"NYY,NYY,NYY"
Glenn Abbott,1973-1984,3,0,"OAK,OAK,DET"
Jim Brideweser,1951-1957,3,0,"NYY,NYY,NYY"
Blaine Durbin,1907-1909,3,0,"CHC,CHC,PIT"
Todd Erdos,1997-2001,3,0,"NYY,NYY,NYY"
Mike Gazella,1923-1928,3,0,"NYY,NYY,NYY"
Bob Porterfield,1948-1959,3,0,"NYY,NYY,NYY"
Jack Saltzgaver,1932-1945,3,0,"NYY,NYY,NYY"
Fred Sanford,1943-1951,3,0,"NYY,NYY,NYY"
Jay Tessmer,1998-2002,3,0,"NYY,NYY,NYY"
Weldon Wyckoff,1913-1918,3,0,"PHA,BOS,BOS"
